"observation","prediction"
61.55,0.999999591140982
185.36,0.999999518269134
276.81,1
253.65,0.99999979151124
95.45,0.999981310783053
267.14,1
257.05,0.999996516367001
182.11,0.999998623684011
358.49,0.999999467461937
314.77,0.999999023712011
138.97,0.999999933559537
213.31,0.999998925594363
56.81,0.999999916133514
131.93,0.999984795139436
111.26,0.999999717121547
138.85,0.999998734166427
52.15,0.999991427674011
137.97,0.99999923958693
228.51,0.999999344972201
77.2,0.999999127345007
180.58,0.99999946017552
214.55,0.99999948870651
177.07,0.999996869802965
185.66,0.999995577564724
66.67,0.999999190967142
127.99,0.999972161739265
132.52,0.999999517134989
154.75,0.999998967698345
32.1,0.999996822405181
134.54,0.999997267958986
36.69,0.999999585633245
86.14,0.999999517322387
171.74,0.9999997771097
199.88,0.999999072164635
101.82,0.999997419654658
139.9,0.999997656667667
75.52,0.999999130034894
114.96,0.99999881437566
182.92,0.999995979636067
41.81,0.999988658190629
105.6,0.999998930134608
124.1,1
308.93,0.999999928662298
101.43,0.999997499997341
132.31,0.999997239793307
