"observation","prediction"
3.4,5.37045649861949
8.79,5.37045644471179
3.2,5.37100012524986
2.1,5.37150162586206
2,5.37051107689057
1.6,5.37045644510302
4.8,5.37082297103919
2.87,5.39071833167248
3.3,5.37045644309408
3.99,5.45164162484379
3.1,5.37045644853406
3.75,5.37045644471229
3.7,5.37060940785669
5.51,5.37045585483544
7.7,5.37045644472861
11.04,5.37045644471179
3.3,5.37045810558712
2.8,5.37270498979304
3.17,5.37045644476331
1.1,5.3704564442111
8.1,5.37046232917369
12.94,5.37045644471179
3.9,5.37044700967599
13.87,5.37045404127661
7,5.3704564447118
3.32,5.37045418463008
4.6,5.37049283975967
13.44,5.3701907320817
4.2,5.37049005018267
11.51,5.37045869177218
4,5.37401508333612
4.5,5.36485834280887
3.6,5.37049311150828
5.3,5.36837425082591
2.8,5.37083713528177
5.4,5.37205529119332
4.39,5.37045647353467
9.08,5.37045644471179
6.3,5.38912715348567
5.4,5.3704564447125
4,5.37091409051216
3.25,5.37034013631858
2.2,5.37045800348687
4.7,5.37871932973489
3.6,5.39068006871565
2.35,5.36986656364177
8.77,5.37296672049149
11.59,5.37049655684343
2.2,5.37045644471184
6.75,5.37030423873474
4.2,5.42042186274899
7.57,5.34731838018739
