"observation","prediction"
3.4,0.999980360610031
3.2,0.999976909869853
2.1,0.9999787039693
3.3,0.999970227887384
1.6,0.999981249180933
4.8,0.999978773921475
4.7,0.999981642057688
2.7,0.999978477263759
3.1,0.999983225829686
3.75,0.999963947609905
3.7,0.999979570599802
7.7,0.999984349483108
3.3,0.999981925373942
2.8,0.999977385338831
6.88,0.99997569630092
1.1,0.999984257762856
8.1,0.99998248945755
3.73,0.999987676746389
4.2,0.99998033654314
7,0.999986857171795
3.32,0.999960891850025
4.6,0.999980332376079
