"observation","prediction"
3.4,4.73250579833984
3.2,4.73250579833984
2.1,4.73250579833984
4.8,4.73250579833984
2.87,4.73250579833984
3.3,4.73250579833984
3.99,4.73250579833984
4.7,4.73250579833984
2.7,4.73250579833984
3.1,4.73250579833984
3.7,4.73250579833984
5.51,4.73250579833984
7.7,4.73250579833984
3.3,4.73250579833984
2.8,4.73250579833984
8.1,4.73250579833984
12.94,4.73250579833984
3.9,4.73250579833984
13.87,4.73250579833984
3.73,4.73250579833984
4.2,4.73250579833984
7,4.73250579833984
4.6,4.73250579833984
13.44,4.73250579833984
