"observation","prediction"
3.4,0.999964311506675
3.2,0.999958398522808
2.1,0.999956210952927
4.8,0.999957660377509
2.87,0.99996008764714
3.3,0.999964354651247
3.99,0.99996123982023
4.7,0.999956066374835
2.7,0.999956966391598
3.1,0.999951614169687
3.7,0.999956260801427
5.51,0.999969737260339
7.7,0.999957433277149
3.3,0.999958593137813
2.8,0.999965604490649
8.1,0.999956214160611
12.94,0.999956332404859
3.9,0.999963664257036
13.87,0.999968289397954
3.73,0.999941428848049
4.2,0.999958871104693
7,0.999950483426862
4.6,0.999960192254095
13.44,0.999969589546845
