"observation","prediction"
"bad","bad"
"bad","bad"
"bad","bad"
"moderate","bad"
"bad","bad"
"bad","bad"
"moderate","bad"
"moderate","bad"
"bad","bad"
"bad","bad"
"moderate","bad"
"good","bad"
"good","bad"
"bad","bad"
"bad","bad"
"good","bad"
"good","bad"
"moderate","bad"
"good","bad"
"moderate","bad"
"moderate","bad"
"good","bad"
"moderate","bad"
"good","bad"
