"observation","prediction"
61.55,212.669387817383
276.81,208.139419555664
253.65,97.2083282470703
95.45,239.19660949707
267.14,105.698684692383
257.05,125.884262084961
314.77,186.923416137695
138.97,267.316650390625
118.74,138.988876342773
213.31,190.59407043457
126.37,307.859680175781
56.81,196.534805297852
111.26,293.066040039062
138.85,205.368942260742
52.15,247.748428344727
137.97,202.538925170898
228.51,229.502487182617
214.55,107.267837524414
177.07,205.874618530273
95.73,114.683135986328
185.66,204.712387084961
85.9,232.438735961914
