"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",0.05,2,0,0.6,1,0.25,50,100.811980797197,0.0433714610120251,69.3963154713912,23.0282151160626,0.0426877771702592,11.5074200867793
"5",0.05,2,0,0.6,1,1,50,103.764904916037,0.0438083880774009,72.253445052812,23.0783026555859,0.0707637281378523,12.897203576487
"9",0.05,2,0,0.6,10,0.25,50,99.5268320303111,0.0386568174751076,67.3880411228529,22.9029263701815,0.0554869459475231,10.8083605697148
"13",0.05,2,0,0.6,10,1,50,102.753538915392,0.0263644857784092,71.8476375116026,22.0861030835396,0.0265644764370745,11.6907057907333
"17",0.05,2,0,0.6,100,0.25,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"21",0.05,2,0,0.6,100,1,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"25",0.05,2,0,0.8,1,0.25,50,100.610737859576,0.0520998798911258,68.757785571065,24.2746771659504,0.0623980824824876,13.1681504614692
"29",0.05,2,0,0.8,1,1,50,104.513486056244,0.0421074926473772,72.6204387706538,24.9588355315181,0.0612635118729752,14.3895884229989
"33",0.05,2,0,0.8,10,0.25,50,99.570855139035,0.0352163553481187,67.2875477702714,23.100118998522,0.0488273685619367,10.9914173667453
"37",0.05,2,0,0.8,10,1,50,103.159826558694,0.0297002636498658,72.4311025356653,22.3077206834345,0.0292187656457727,12.0284116977199
"41",0.05,2,0,0.8,100,0.25,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"45",0.05,2,0,0.8,100,1,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"49",0.05,2,1,0.6,1,0.25,50,100.322475007114,0.0475349971727553,68.5071604206717,23.5435757454126,0.0625835180429536,11.8264645544589
"53",0.05,2,1,0.6,1,1,50,102.6285950011,0.0446587533485081,71.4366949535439,23.9381957796804,0.067326867134486,12.8118164204608
"57",0.05,2,1,0.6,10,0.25,50,99.5890641473318,0.025907695851223,67.4579724906752,22.7548070757867,0.0328912874569428,11.3165348667094
"61",0.05,2,1,0.6,10,1,50,102.282829658218,0.0304777229122589,71.3319466824488,21.7976595396443,0.0276204933223693,11.2973210235642
"65",0.05,2,1,0.6,100,0.25,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"69",0.05,2,1,0.6,100,1,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"73",0.05,2,1,0.8,1,0.25,50,101.696705277086,0.0394902457093986,69.6883974714253,23.346158797345,0.0397114823414384,12.2050593054905
"77",0.05,2,1,0.8,1,1,50,104.695702974392,0.0444358656068918,72.9781204116499,24.7104379158015,0.0636885539073542,14.0798836592571
"81",0.05,2,1,0.8,10,0.25,50,99.6212688981804,0.0299199053488852,67.6281190338344,22.7134795199903,0.0467888020792272,11.3261270814356
"85",0.05,2,1,0.8,10,1,50,103.060364281645,0.0302639494084521,72.2117706123976,22.197483543066,0.0296858367570754,11.9406100470804
"89",0.05,2,1,0.8,100,0.25,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"93",0.05,2,1,0.8,100,1,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"97",0.05,2,10,0.6,1,0.25,50,100.25535677926,0.0408281878337521,68.433728835776,22.4261920058015,0.0357514105918107,10.698537509104
"101",0.05,2,10,0.6,1,1,50,103.762053496107,0.0455802119536809,72.3943048092674,23.5188344402016,0.0645874559944693,13.084525704533
"105",0.05,2,10,0.6,10,0.25,50,99.0020184617693,0.033582451669018,67.0207883500113,22.9647167696569,0.0468723365016213,10.5904317097339
"109",0.05,2,10,0.6,10,1,50,102.459348527647,0.0282461610346368,71.6342350114479,22.3024841679607,0.0278432532089938,11.613789370789
"113",0.05,2,10,0.6,100,0.25,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"117",0.05,2,10,0.6,100,1,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"121",0.05,2,10,0.8,1,0.25,50,99.7458766543225,0.0439614052828391,68.3273984051757,23.417306153695,0.0407096621072588,11.8656833268452
"125",0.05,2,10,0.8,1,1,50,104.82520444857,0.0429184143036824,73.1048551862046,24.8608183407439,0.0660059569374243,14.1986436570865
"129",0.05,2,10,0.8,10,0.25,50,99.9474210688224,0.033308101398044,67.5992957361982,22.8747690199999,0.046409560720528,10.7854724843924
"133",0.05,2,10,0.8,10,1,50,102.999155411484,0.0289352765790042,72.1621732377569,22.1284904217453,0.0263440415798934,11.7530608714709
"137",0.05,2,10,0.8,100,0.25,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"141",0.05,2,10,0.8,100,1,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"145",0.05,2,100,0.6,1,0.25,50,100.816750399218,0.0405824809216701,69.2450817876472,22.5228204957138,0.0469512410147525,10.8906520009055
"149",0.05,2,100,0.6,1,1,50,102.818043146878,0.0489149846678473,71.6684052129492,23.4112852196502,0.0671257598611997,12.2662530858149
"153",0.05,2,100,0.6,10,0.25,50,99.1582457987775,0.0321433914521992,67.0041266433961,23.0450659764815,0.0410963674042799,11.1251016871916
"157",0.05,2,100,0.6,10,1,50,102.496371330955,0.0278469232236116,71.6850668665862,21.8501467016378,0.0265131547407179,11.446818975096
"161",0.05,2,100,0.6,100,0.25,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"165",0.05,2,100,0.6,100,1,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"169",0.05,2,100,0.8,1,0.25,50,101.636601708886,0.035019003055937,69.9850774303293,22.9208844499612,0.0413868600720219,11.6081755425053
"173",0.05,2,100,0.8,1,1,50,104.305883032223,0.0447984099002173,72.7924702694204,24.8449726751954,0.0701022878964723,14.0861867820514
"177",0.05,2,100,0.8,10,0.25,50,99.4675654328907,0.0371040591440469,67.4644633810651,22.9132717310325,0.0593295066106051,10.9038283917684
"181",0.05,2,100,0.8,10,1,50,103.051416452421,0.0289325062463391,72.0430271222132,22.4496975925456,0.0288297016556166,11.9721628094413
"185",0.05,2,100,0.8,100,0.25,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"189",0.05,2,100,0.8,100,1,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"769",0.1,2,0,0.6,1,0.25,50,105.172561892077,0.0297308056629446,75.9725336628183,19.7594341334527,0.0356753470929709,10.5262908818109
"773",0.1,2,0,0.6,1,1,50,109.60677571941,0.0369073398883287,78.9738963517129,21.4282710866043,0.059598977512546,13.0678973799037
"777",0.1,2,0,0.6,10,0.25,50,99.5912853301139,0.0415502067105672,71.8020345042897,20.0945054944532,0.0499757804034979,11.1877959456153
"781",0.1,2,0,0.6,10,1,50,106.228909151794,0.0289646775381341,76.8830601043607,19.122691767047,0.0310834482991986,10.383606655537
"785",0.1,2,0,0.6,100,0.25,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"789",0.1,2,0,0.6,100,1,50,184.346976909189,NA,157.031207435408,21.9082656458759,NA,14.0020623335003
"793",0.1,2,0,0.8,1,0.25,50,104.360443933709,0.048003983716179,75.3527210697447,19.78107141493,0.0507761958281094,11.3988629991877
"797",0.1,2,0,0.8,1,1,50,111.174757196087,0.0439275742497204,79.6430342217169,25.4514259712747,0.0566846623972669,15.7879803202035
