"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",0.05,2,0,0.6,1,0.25,50,106.200173533736,0.0765991504713147,71.8069554928266,28.0691143669563,0.0844646397686483,14.800970342998
"5",0.05,2,0,0.6,1,1,50,104.945260420142,0.0948805210560866,72.6675493202008,29.621081818209,0.100588332321288,18.0719815825658
"9",0.05,2,0,0.6,10,0.25,50,104.671758656764,0.0301149409680317,71.1254181189189,28.8822333074473,0.0412507056516905,12.4472429378628
"13",0.05,2,0,0.6,10,1,50,105.920226682436,0.0630681353422101,73.9499965225203,27.5527688966989,0.0595601953494983,15.4507806804794
"17",0.05,2,0,0.6,100,0.25,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"21",0.05,2,0,0.6,100,1,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"25",0.05,2,0,0.8,1,0.25,50,106.100750637079,0.0717423240780026,71.8346348091631,27.5675482642224,0.0683459503099648,13.7885879635456
"29",0.05,2,0,0.8,1,1,50,105.187953406879,0.106762251044562,72.8984418581359,31.3647240837349,0.0990883856882035,19.83440285346
"33",0.05,2,0,0.8,10,0.25,50,104.73235876868,0.0330395608895003,70.9163156914597,28.9932552384403,0.0380622016396039,12.8996648755253
"37",0.05,2,0,0.8,10,1,50,106.552649986303,0.0592587566532042,74.4314809243251,27.6916152099403,0.0567562970325147,15.4974713446619
"41",0.05,2,0,0.8,100,0.25,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"45",0.05,2,0,0.8,100,1,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"49",0.05,2,1,0.6,1,0.25,50,105.133050710707,0.0780891087409689,71.2962060348748,28.4154504182506,0.0926551791162951,14.5239858646734
"53",0.05,2,1,0.6,1,1,50,105.254803657473,0.0959438345448643,73.2563042279227,30.0802704387277,0.0921895736589656,18.7504933821848
"57",0.05,2,1,0.6,10,0.25,50,104.283054426596,0.0400652351894173,70.8829751171553,29.1319929022046,0.0467029798577608,13.1205497007988
"61",0.05,2,1,0.6,10,1,50,105.981641033233,0.0631928362984701,73.8438862128024,27.375551850259,0.0630798173363953,15.4988083548489
"65",0.05,2,1,0.6,100,0.25,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"69",0.05,2,1,0.6,100,1,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"73",0.05,2,1,0.8,1,0.25,50,105.318565199993,0.0808771938348614,71.0822979237082,26.9942459363249,0.0942362507022994,13.1441072960907
"77",0.05,2,1,0.8,1,1,50,105.511449329226,0.0969316149547201,73.2286719443217,30.6874051361846,0.0950887296775735,19.1254620191145
"81",0.05,2,1,0.8,10,0.25,50,104.809168055895,0.0350763011901772,71.1251186856225,29.0927690869,0.0464945876912723,12.9970829753634
"85",0.05,2,1,0.8,10,1,50,106.416111002198,0.0594772099193807,74.0033320398066,27.3506857020668,0.0589743655310043,15.3670836708342
"89",0.05,2,1,0.8,100,0.25,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"93",0.05,2,1,0.8,100,1,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"97",0.05,2,10,0.6,1,0.25,50,105.786670959074,0.0710410599227806,71.55204520566,27.7255024166577,0.0733596947866317,14.4208196268722
"101",0.05,2,10,0.6,1,1,50,105.307090696332,0.0976728555562727,72.8446748067657,29.351624229451,0.102257309911216,17.9938958126642
"105",0.05,2,10,0.6,10,0.25,50,104.557399059144,0.0335730146758654,71.12150522022,28.8862895842884,0.045956609715105,12.5777021336967
"109",0.05,2,10,0.6,10,1,50,106.277583313214,0.0606281349601106,74.0535733881564,27.5441638077322,0.0604782826453001,15.2782019072358
"113",0.05,2,10,0.6,100,0.25,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"117",0.05,2,10,0.6,100,1,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"121",0.05,2,10,0.8,1,0.25,50,104.813908244144,0.0868434656008668,71.5496345532224,27.5426766768455,0.0826209426468168,14.0167289346676
"125",0.05,2,10,0.8,1,1,50,105.676730841845,0.0955331068026073,73.3598437247766,30.8109556936595,0.0966449399831505,19.2997053050995
"129",0.05,2,10,0.8,10,0.25,50,104.700500762835,0.0303329007448865,71.0084193563859,29.0731765601228,0.0457675155801036,12.9722103194672
"133",0.05,2,10,0.8,10,1,50,106.608141063107,0.0586734081680813,74.2773174654108,27.5827465576317,0.0566908451180212,15.550765434619
"137",0.05,2,10,0.8,100,0.25,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"141",0.05,2,10,0.8,100,1,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"145",0.05,2,100,0.6,1,0.25,50,104.947802228818,0.0781995964437737,70.9606886114779,27.4426364355726,0.0981849489223835,14.4766548565023
"149",0.05,2,100,0.6,1,1,50,104.789595825611,0.099930862954036,72.5031552686145,30.4770723328464,0.100924486719653,18.7029823152273
"153",0.05,2,100,0.6,10,0.25,50,104.879381796133,0.0274318468553083,71.4724912161413,28.8510223430508,0.031538853663796,12.5981840058841
"157",0.05,2,100,0.6,10,1,50,106.179606759091,0.0574235000302909,73.8327545280558,27.1853998293099,0.0569860404016522,15.0849502722963
"161",0.05,2,100,0.6,100,0.25,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"165",0.05,2,100,0.6,100,1,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"169",0.05,2,100,0.8,1,0.25,50,105.081333613521,0.0792274920122575,70.8434398069512,27.8451150558088,0.0706726580764172,14.2399065102447
"173",0.05,2,100,0.8,1,1,50,104.987229693165,0.0983440381518828,72.9865482275775,30.7408093579724,0.0994207374186751,19.2907493521223
"177",0.05,2,100,0.8,10,0.25,50,104.730770952222,0.0404284779693332,71.3199828193929,28.8960977539256,0.048239567008381,12.5757545252233
"181",0.05,2,100,0.8,10,1,50,106.624932934559,0.0561186415019959,74.0711864480166,27.5073049340399,0.0533930670008336,15.6862302682773
"185",0.05,2,100,0.8,100,0.25,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"189",0.05,2,100,0.8,100,1,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"769",0.1,2,0,0.6,1,0.25,50,106.449523573466,0.100475253158253,74.8993526200893,26.4989462034392,0.120644236677593,14.9882557043154
"773",0.1,2,0,0.6,1,1,50,105.258492423421,0.0981769228299274,75.5464990921079,27.7491730013943,0.114984399978994,17.8222556831683
"777",0.1,2,0,0.6,10,0.25,50,104.862753417423,0.028390627936322,74.4875248968872,25.5766824745108,0.0272344411458662,11.6891148597798
"781",0.1,2,0,0.6,10,1,50,107.78611942288,0.0664902918186545,78.4725723873467,25.2300563656505,0.0645936440264615,15.020072868889
"785",0.1,2,0,0.6,100,0.25,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"789",0.1,2,0,0.6,100,1,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
"793",0.1,2,0,0.8,1,0.25,50,108.651289822413,0.0736827288438047,77.14678130873,23.8830868405414,0.096932531203702,13.5594942733725
"797",0.1,2,0,0.8,1,1,50,105.358724766629,0.105318341255822,75.8663852469953,28.5411908278574,0.115203634947943,18.5176724429232
"801",0.1,2,0,0.8,10,0.25,50,104.959734477988,0.0405951140985964,74.7157278001058,25.1948162787913,0.0477141472169251,11.1674322128032
"805",0.1,2,0,0.8,10,1,50,107.985310105064,0.0682925245108211,78.3786943063531,25.0617049806393,0.0668278419595619,15.4027583060941
"809",0.1,2,0,0.8,100,0.25,50,186.070944848626,NA,155.889814096658,27.0369917909298,NA,16.4051184879992
