"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",0.05,2,0,0.6,1,0.25,50,100.413400590088,0.0566253865202906,69.7355966993692,22.7585408837096,0.061449798556567,11.8635230515679
"5",0.05,2,0,0.6,1,1,50,103.516825842497,0.0499990549737412,71.8414107455957,22.2356634840909,0.0639599080357766,11.8797895564262
"9",0.05,2,0,0.6,10,0.25,50,97.5940270712003,0.0538969323763265,66.2095143096118,25.5560329282707,0.0696284129350289,12.2185909605004
"13",0.05,2,0,0.6,10,1,50,101.365570726433,0.0682707346357594,71.2522826360073,22.1075185536764,0.0776376982161028,10.9314027686799
"17",0.05,2,0,0.6,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"21",0.05,2,0,0.6,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"25",0.05,2,0,0.8,1,0.25,50,101.954303638067,0.0547291618746213,71.8474112724106,23.2732296157887,0.0683354164411231,11.9526033312193
"29",0.05,2,0,0.8,1,1,50,106.939940368637,0.0379460735362892,73.7572629189546,22.2594750523913,0.0547821635827307,11.7876758157776
"33",0.05,2,0,0.8,10,0.25,50,98.0547633877666,0.0482644180675249,66.55783808655,25.7023694843454,0.0583986883460415,12.2612576462623
"37",0.05,2,0,0.8,10,1,50,102.32322497456,0.0710136214075116,71.9141859265962,22.0793837275774,0.0818790949455878,11.0909817968461
"41",0.05,2,0,0.8,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"45",0.05,2,0,0.8,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"49",0.05,2,1,0.6,1,0.25,50,101.791018066892,0.0581198128238151,70.8357464113158,22.8293653994462,0.0655748057561646,11.8715953197104
"53",0.05,2,1,0.6,1,1,50,103.341861918945,0.0494333949648224,71.5342986127886,22.4752815212745,0.064096226263803,11.2831623056543
"57",0.05,2,1,0.6,10,0.25,50,97.7103895439082,0.0570039665716097,66.0646586727786,25.5488382136857,0.0608590882953198,12.1764432734079
"61",0.05,2,1,0.6,10,1,50,101.72212765032,0.0649923033439583,71.6451506748124,22.171608710943,0.0694736178767523,11.1707003874877
"65",0.05,2,1,0.6,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"69",0.05,2,1,0.6,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"73",0.05,2,1,0.8,1,0.25,50,101.151387643139,0.0628910659677463,70.6642956355124,23.2244714115716,0.0685552369504108,11.9354803312624
"77",0.05,2,1,0.8,1,1,50,106.801893586097,0.0445608575025642,73.823339501234,22.1021506333708,0.064975074930517,11.9111289276899
"81",0.05,2,1,0.8,10,0.25,50,97.5943682929898,0.0653476732626953,66.2263174888928,25.8152005638981,0.0829873433115736,12.5109549802172
"85",0.05,2,1,0.8,10,1,50,101.95096199751,0.0738070176276882,71.8412769663726,22.0639431320922,0.0833396180142152,11.150877630995
"89",0.05,2,1,0.8,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"93",0.05,2,1,0.8,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"97",0.05,2,10,0.6,1,0.25,50,101.008326454501,0.0563837032299122,71.1558276673649,21.23241949382,0.0579883300621402,10.7673113261971
"101",0.05,2,10,0.6,1,1,50,104.09436526662,0.0441407073303591,72.3284410564078,21.947982244604,0.0599226585054974,11.3721105532381
"105",0.05,2,10,0.6,10,0.25,50,97.5773554523159,0.0649048896744234,65.9927400296083,25.0615049496153,0.0741705131952671,11.396850373586
"109",0.05,2,10,0.6,10,1,50,101.973312437296,0.0671797165675173,71.7748008285871,21.9988258198011,0.078936502660956,10.9277588584242
"113",0.05,2,10,0.6,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"117",0.05,2,10,0.6,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"121",0.05,2,10,0.8,1,0.25,50,101.069567911828,0.0618111997669619,69.8573816936276,22.5792233423197,0.081076140363952,11.5320877597071
"125",0.05,2,10,0.8,1,1,50,106.750004886454,0.0417699125753829,73.9781507983291,21.7804195681916,0.0627387835988642,11.2205816223847
"129",0.05,2,10,0.8,10,0.25,50,97.7267627887645,0.0611059903665872,66.1004068010783,25.2159881387335,0.0656458916552745,12.0241523618741
"133",0.05,2,10,0.8,10,1,50,102.413099597707,0.0661205225239934,72.0103102986229,21.9743541011779,0.0767735099807571,10.9282934130033
"137",0.05,2,10,0.8,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"141",0.05,2,10,0.8,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"145",0.05,2,100,0.6,1,0.25,50,101.084598396387,0.052883857114773,70.158599907577,22.4766429783235,0.0586447779492981,11.411653624969
"149",0.05,2,100,0.6,1,1,50,104.156567550483,0.0431508463629811,72.0598744729158,22.369041618193,0.0605639392256785,11.3990709431443
"153",0.05,2,100,0.6,10,0.25,50,97.5411157039517,0.0552495839305374,66.2605879530252,25.511925495397,0.078267175346158,11.9384321763893
"157",0.05,2,100,0.6,10,1,50,101.773450164539,0.0653195179925609,71.7334493508819,22.1333392786339,0.0753064947758643,11.0340366395051
"161",0.05,2,100,0.6,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"165",0.05,2,100,0.6,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"169",0.05,2,100,0.8,1,0.25,50,100.742487783651,0.0525211149997952,70.1745379098247,24.1322131247345,0.0600827090010999,12.4755679036896
"173",0.05,2,100,0.8,1,1,50,106.28538019202,0.0423590498907359,73.7104263354887,22.0320419121042,0.0563584615791939,11.7259465713986
"177",0.05,2,100,0.8,10,0.25,50,97.5831675432948,0.0512979132143079,66.1335782983754,24.8519671911964,0.0532787774375401,11.6730566124045
"181",0.05,2,100,0.8,10,1,50,101.568511261855,0.0722000445242021,71.5134898612696,22.0211460451784,0.0874389134105067,11.0192950924574
"185",0.05,2,100,0.8,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"189",0.05,2,100,0.8,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"769",0.1,2,0,0.6,1,0.25,50,107.468327902256,0.0535459605820695,77.3396367982497,18.3928457997573,0.0571217918146511,10.6808448505358
"773",0.1,2,0,0.6,1,1,50,107.124352925584,0.0587545162595409,76.0273211988299,20.0130255370584,0.0680729783435631,11.4790305406417
"777",0.1,2,0,0.6,10,0.25,50,98.4323190403923,0.0581822672409024,70.3800812334543,22.9226390697567,0.0818719912302667,12.1212045695098
"781",0.1,2,0,0.6,10,1,50,104.590940008598,0.0780698629092918,75.5137179805575,19.967029927239,0.0950616793313206,11.7411662573586
"785",0.1,2,0,0.6,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"789",0.1,2,0,0.6,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"793",0.1,2,0,0.8,1,0.25,50,105.152189667162,0.0536101980757034,76.9545537395588,18.9829290765905,0.0647567741687196,11.8997871562492
"797",0.1,2,0,0.8,1,1,50,110.139154951906,0.0550454584919302,77.5207561418431,20.8128799903961,0.0659220328710698,11.8714756472686
"801",0.1,2,0,0.8,10,0.25,50,98.7643408474592,0.0621400401155476,70.1296997662684,22.5192178747222,0.0816166566202983,11.8135347559277
"805",0.1,2,0,0.8,10,1,50,104.753553310468,0.0810300370363214,75.8596500150859,20.0636613300712,0.092468142747412,11.9457206804122
"809",0.1,2,0,0.8,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"813",0.1,2,0,0.8,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"817",0.1,2,1,0.6,1,0.25,50,105.724412792195,0.0481672674923368,76.4146201096676,19.4723267448662,0.0625306034551971,11.1573497761569
"821",0.1,2,1,0.6,1,1,50,107.333809614973,0.0569441359378916,76.328091465542,19.6710107631985,0.0666190785423461,11.2285527002237
"825",0.1,2,1,0.6,10,0.25,50,96.9870943981766,0.0505488428979179,68.3378499954808,23.498623277345,0.058457363242483,11.8617001306922
"829",0.1,2,1,0.6,10,1,50,104.673206768633,0.0762400090515923,75.5909072780337,20.2553013175155,0.0904067516833344,12.4307764462757
"833",0.1,2,1,0.6,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"837",0.1,2,1,0.6,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"841",0.1,2,1,0.8,1,0.25,50,106.045869510232,0.0513575223018804,76.7888225414953,18.3321456210657,0.0660530602771115,11.1164120900543
"845",0.1,2,1,0.8,1,1,50,108.571189865949,0.0519678249512933,76.7010275086421,20.6622563067534,0.0668078328505054,11.5073505211049
"849",0.1,2,1,0.8,10,0.25,50,98.8323565789941,0.0685270426225232,70.8115606170351,22.3055129427847,0.0918145328844595,10.9215346435165
"853",0.1,2,1,0.8,10,1,50,104.404236794502,0.0779193468519274,75.5236059165603,20.2522647147647,0.0891245410318803,12.1249565874059
"857",0.1,2,1,0.8,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"861",0.1,2,1,0.8,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"865",0.1,2,10,0.6,1,0.25,50,106.20145337997,0.0481302875184418,77.0127437785099,20.0485753778524,0.0645715091578014,12.3357388185823
"869",0.1,2,10,0.6,1,1,50,106.417149078957,0.0612573417879131,75.6461235022595,20.7709487601508,0.0705075624074978,11.6733763511288
"873",0.1,2,10,0.6,10,0.25,50,98.0453296546023,0.0570559702927786,69.2404025413422,22.4493821562021,0.0687676513808519,11.0554341325171
"877",0.1,2,10,0.6,10,1,50,104.625808364288,0.0698111109248406,75.7818731485002,19.1181675425029,0.0839109215862515,10.8527615029518
"881",0.1,2,10,0.6,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"885",0.1,2,10,0.6,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"889",0.1,2,10,0.8,1,0.25,50,104.860950035254,0.0471977611044897,75.7396397190786,19.6488642163046,0.0556504801000853,11.2671231439346
"893",0.1,2,10,0.8,1,1,50,110.382577475771,0.0505215347662804,77.5480366311739,21.5802986400344,0.0631107205922412,12.7565726042749
"897",0.1,2,10,0.8,10,0.25,50,98.5750645094466,0.0695884011574604,70.5026629681346,22.8540227125206,0.0789461310642958,11.948619223498
"901",0.1,2,10,0.8,10,1,50,104.666584516745,0.0807024132508276,75.8035677295398,20.0537507316575,0.0937469294492076,11.8389981938424
"905",0.1,2,10,0.8,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"909",0.1,2,10,0.8,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"913",0.1,2,100,0.6,1,0.25,50,106.125472106935,0.055383660669065,77.6716692920689,18.2333818259182,0.0650701758513873,10.9115497225228
"917",0.1,2,100,0.6,1,1,50,107.147252519648,0.0614621472277436,75.7817802386687,20.6874294906957,0.0797801859136817,11.6316305159254
"921",0.1,2,100,0.6,10,0.25,50,98.3500606778079,0.0503113044941262,70.1129865921241,23.2597914678263,0.0480584603089927,11.68637635217
"925",0.1,2,100,0.6,10,1,50,104.663159320552,0.0757184308990568,75.8896218319116,20.2475081126391,0.0896351837185834,12.3948390960643
"929",0.1,2,100,0.6,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"933",0.1,2,100,0.6,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"937",0.1,2,100,0.8,1,0.25,50,106.327419770938,0.0568381306665498,77.3392828698697,19.097936785372,0.0613647612359727,10.953237947626
"941",0.1,2,100,0.8,1,1,50,109.511813436047,0.0499990507539998,77.1078238297123,20.917178260663,0.0624116812044516,12.5003858991127
"945",0.1,2,100,0.8,10,0.25,50,98.4318009597338,0.0567806143085638,70.3343128280914,22.6087398717315,0.0726323229254986,11.6915409283952
"949",0.1,2,100,0.8,10,1,50,104.747483699745,0.0797472945279434,75.7388824781581,19.9967366200253,0.0937380245459302,11.8690028885503
"953",0.1,2,100,0.8,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"957",0.1,2,100,0.8,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"1537",0.3,2,0,0.6,1,0.25,50,118.131506437413,0.0587997489513303,87.0765742053403,18.5003171828313,0.0771108043642252,10.8326499161998
"1541",0.3,2,0,0.6,1,1,50,116.892514318496,0.0458036613272716,82.8471026502005,20.2173007003854,0.0669036743066733,12.5967372199515
"1545",0.3,2,0,0.6,10,0.25,50,101.446988130486,0.0544602692646822,72.2859853952906,22.2762909185379,0.0659366496528815,14.5014451793027
"1549",0.3,2,0,0.6,10,1,50,112.839556096596,0.0689334628675012,81.2023197077687,18.2496642332965,0.0894054340354704,12.0064613036395
"1553",0.3,2,0,0.6,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"1557",0.3,2,0,0.6,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"1561",0.3,2,0,0.8,1,0.25,50,121.386727650159,0.0409859583184852,87.7549563120212,22.6615126436504,0.0722868489582525,15.4669911318006
"1565",0.3,2,0,0.8,1,1,50,115.948851631083,0.0526884839924687,82.8508519202943,22.7709955120669,0.079801854170895,14.366175784145
"1569",0.3,2,0,0.8,10,0.25,50,104.382354812402,0.0509966773921319,75.0902922951453,22.7296252389743,0.0590378866962742,12.9991704693031
"1573",0.3,2,0,0.8,10,1,50,112.637371326304,0.0621376068538259,81.1152419899113,17.8222631563588,0.0729934826955368,11.5103102961361
"1577",0.3,2,0,0.8,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"1581",0.3,2,0,0.8,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"1585",0.3,2,1,0.6,1,0.25,50,121.781704487794,0.0401723244656148,89.7334202339918,21.2752926868622,0.0569424521255833,14.4793407585413
"1589",0.3,2,1,0.6,1,1,50,115.605568483713,0.0489646128750399,82.5384492005464,19.9406271878924,0.0614118004525431,13.1272055870544
"1593",0.3,2,1,0.6,10,0.25,50,101.528543738534,0.0391309423943003,74.1740472291261,21.291126485673,0.0543068546870805,12.3875185616625
"1597",0.3,2,1,0.6,10,1,50,110.770451277788,0.0658713374070381,80.0476990790141,17.703339129139,0.0817097708433455,11.6140463895937
"1601",0.3,2,1,0.6,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"1605",0.3,2,1,0.6,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"1609",0.3,2,1,0.8,1,0.25,50,119.422790202741,0.0584889029435378,88.0690940539965,18.172585434444,0.0856165748163772,11.4830128504275
"1613",0.3,2,1,0.8,1,1,50,116.505434391817,0.0508400899019073,82.1589398559311,19.4655242380851,0.0627229147570721,11.3089450634378
"1617",0.3,2,1,0.8,10,0.25,50,103.329585217019,0.0398652018639201,74.5399902320365,22.1136503366175,0.0433340974699243,13.6803713056935
"1621",0.3,2,1,0.8,10,1,50,113.619976195588,0.0661668736685522,81.6364872542055,19.8610480524069,0.0800088588572154,13.3366427559696
"1625",0.3,2,1,0.8,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"1629",0.3,2,1,0.8,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"1633",0.3,2,10,0.6,1,0.25,50,116.977894574906,0.0621907518029365,86.5065927736388,16.0081222832167,0.0731386032362031,12.2732433024412
"1637",0.3,2,10,0.6,1,1,50,113.922649475112,0.0528928637723897,80.8783923450639,18.6769329835448,0.0624867511036443,11.5786392045545
"1641",0.3,2,10,0.6,10,0.25,50,101.59878854858,0.0646673831113878,73.4719587017975,21.8976026646032,0.0840344642819732,12.7573216400252
"1645",0.3,2,10,0.6,10,1,50,112.341178544711,0.0648354513208651,80.5976196853485,18.8535507412115,0.0736032313464656,11.9793827511481
"1649",0.3,2,10,0.6,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"1653",0.3,2,10,0.6,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"1657",0.3,2,10,0.8,1,0.25,50,118.469683287968,0.0430961976494175,89.2140564844811,17.4381020155091,0.0797457707163714,12.5822270631786
"1661",0.3,2,10,0.8,1,1,50,116.652761973643,0.0503903680813482,82.7180505934156,21.9054935514042,0.0563367895986127,13.6000510659707
"1665",0.3,2,10,0.8,10,0.25,50,105.309679701352,0.0457726162552638,75.4236183730374,21.0952202270765,0.0526605419699122,12.0034339012976
"1669",0.3,2,10,0.8,10,1,50,112.375505634829,0.068245894108209,81.2305917787955,19.9621491243975,0.0830981341864888,12.3120671292011
"1673",0.3,2,10,0.8,100,0.25,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
"1677",0.3,2,10,0.8,100,1,50,182.443874624904,NA,155.016777448631,23.56021084515,NA,13.9305744803246
