"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",0.05,2,0,0.6,1,0.25,50,109.194960934353,0.0488614431506197,74.281404338268,21.1589148065648,0.0590832297553831,12.1186724253691
"5",0.05,2,0,0.6,1,1,50,114.978685615751,0.0255453438120267,79.5166252070667,16.3169541747443,0.0302224976571457,10.5052347754135
"9",0.05,2,0,0.6,10,0.25,50,107.494553765035,0.0240583581165782,72.9642059963663,21.3342811511484,0.0365255817444082,10.6122828594636
"13",0.05,2,0,0.6,10,1,50,111.446710013773,0.037394740396943,76.9049145100396,19.3945881291388,0.0440612679316879,11.4006501547216
"17",0.05,2,0,0.6,100,0.25,50,192.344278640949,NA,162.774205581606,24.2544384703475,NA,18.5076241160723
"21",0.05,2,0,0.6,100,1,50,192.344278640949,NA,162.774205581606,24.2544384703475,NA,18.5076241160723
"25",0.05,2,0,0.8,1,0.25,50,111.36993274606,0.0369281302940856,76.3605879771411,20.1382764023498,0.0368357591687426,11.2104947060982
"29",0.05,2,0,0.8,1,1,50,116.504423566411,0.026061222458529,80.6826779457838,16.4822839216727,0.0345344662734182,11.1425945963515
"33",0.05,2,0,0.8,10,0.25,50,107.116581541162,0.0307462358196175,72.518227833703,21.9658270914623,0.0345820362574686,11.220186987199
"37",0.05,2,0,0.8,10,1,50,111.823003265145,0.0384265390704323,77.1234894462638,20.3078356248575,0.0481685381666582,12.2436227315585
"41",0.05,2,0,0.8,100,0.25,50,192.344278640949,NA,162.774205581606,24.2544384703475,NA,18.5076241160723
"45",0.05,2,0,0.8,100,1,50,192.344278640949,NA,162.774205581606,24.2544384703475,NA,18.5076241160723
"49",0.05,2,1,0.6,1,0.25,50,108.925826342208,0.045060898762227,73.3989172290732,20.5968649131539,0.0530353765768441,11.6372698119156
"53",0.05,2,1,0.6,1,1,50,114.792889021784,0.0276248137064812,79.1304004746427,16.6876234305048,0.0344581596018712,10.8002826584075
"57",0.05,2,1,0.6,10,0.25,50,107.198930284865,0.0347051076870511,72.4253921714915,21.3732176208163,0.0581598295765125,10.720014851726
"61",0.05,2,1,0.6,10,1,50,112.381945318178,0.035103227553055,77.5959395592266,19.6593198436174,0.0422671460320514,11.7211494443896
"65",0.05,2,1,0.6,100,0.25,50,192.344278640949,NA,162.774205581606,24.2544384703475,NA,18.5076241160723
"69",0.05,2,1,0.6,100,1,50,192.344278640949,NA,162.774205581606,24.2544384703475,NA,18.5076241160723
"73",0.05,2,1,0.8,1,0.25,50,110.665534256265,0.0455689543784903,75.604781467928,19.0758209636518,0.0504624508297361,10.7189804902576
"77",0.05,2,1,0.8,1,1,50,116.724011265798,0.0247207228676224,80.6618431050604,16.1498715247227,0.0273745892859592,10.6980887612596
"81",0.05,2,1,0.8,10,0.25,50,106.937968261773,0.0311024529566188,72.038112860569,21.4872771166025,0.069292463030111,10.722459501843
"85",0.05,2,1,0.8,10,1,50,111.962845724015,0.0351294054523811,77.2960998642817,19.9800608649946,0.049533888593095,12.1430692152056
"89",0.05,2,1,0.8,100,0.25,50,192.344278640949,NA,162.774205581606,24.2544384703475,NA,18.5076241160723
"93",0.05,2,1,0.8,100,1,50,192.344278640949,NA,162.774205581606,24.2544384703475,NA,18.5076241160723
"97",0.05,2,10,0.6,1,0.25,50,109.777264072105,0.0407136275699757,74.4737962546491,20.461322242359,0.0542195554657047,11.2479488440451
"101",0.05,2,10,0.6,1,1,50,114.974219404789,0.0244044592778663,79.8602698141462,16.5539789756427,0.0305213632477702,10.5482228159191
"105",0.05,2,10,0.6,10,0.25,50,106.712109986596,0.0315072352240904,72.0791191460334,22.0522830998106,0.043005026461968,11.3197458837318
"109",0.05,2,10,0.6,10,1,50,112.32137178071,0.0372947152896901,77.3387650815756,19.971491357661,0.0457663418133829,11.9294547028359
"113",0.05,2,10,0.6,100,0.25,50,192.344278640949,NA,162.774205581606,24.2544384703475,NA,18.5076241160723
"117",0.05,2,10,0.6,100,1,50,192.344278640949,NA,162.774205581606,24.2544384703475,NA,18.5076241160723
"121",0.05,2,10,0.8,1,0.25,50,110.399450995921,0.0347154317922372,75.478418763416,20.7335959884235,0.0517510433216328,12.0965839648758
"125",0.05,2,10,0.8,1,1,50,116.630163148061,0.0245885339419463,80.5809657572651,15.8979356924512,0.0338830942863549,10.7186926910913
"129",0.05,2,10,0.8,10,0.25,50,107.0009703085,0.0405160492740716,72.6000615175558,21.8161022341522,0.048349890216635,10.8565232741366
"133",0.05,2,10,0.8,10,1,50,112.348601745412,0.0350545504577629,77.6423660190694,19.7522541069495,0.043645479745399,11.7339265182616
"137",0.05,2,10,0.8,100,0.25,50,192.344278640949,NA,162.774205581606,24.2544384703475,NA,18.5076241160723
"141",0.05,2,10,0.8,100,1,50,192.344278640949,NA,162.774205581606,24.2544384703475,NA,18.5076241160723
"145",0.05,2,100,0.6,1,0.25,50,109.106577043215,0.037192305956283,73.5217288152247,21.2763108252784,0.0354866733373412,11.7207054074775
"149",0.05,2,100,0.6,1,1,50,114.977743520307,0.024495121449923,79.4953486237654,16.6027629117324,0.0283453412350398,10.770119083706
"153",0.05,2,100,0.6,10,0.25,50,106.972881807278,0.0242762603557295,72.3661050449374,22.1307360506458,0.0251163668985911,11.1950929732252
