longitude,latitude
81.14406,16.6671379897785
81.13654,16.6637853492334
81.1399,16.6595741056218
81.14638,16.6609642248722
81.15058,16.6548313458262
81.15026,16.6485758091993
81.14642,16.6506201022147
81.1395,16.6474310051107
81.12458,16.6587155025554
81.1271,16.6570800681431
81.11902,16.6440374787053
81.11914,16.6448960817717
81.11614,16.6423611584327
81.14054,16.6365962521295
81.14022,16.6345928449745
81.14858,16.6310766609881
81.1431,16.6273969335605
81.13506,16.6177069846678
81.13382,16.6154173764906
81.13594,16.6140272572402
