"","min","q1","mean","q3","max"
"ammonia",0.01,0.0975,0.174270833333333,0.21,1.08
"chlorophyll",32.1,96.4125,161.609166666667,189.905,621.83
"do",0.8,3.3,5.33354166666667,6.91,13.87
"ph",7.89,8.22,8.3609375,8.51,9.1
"phycocyanin",1.06,5.2,7.995625,10.325,22.65
"temperature",27.9,28.7,29.3354166666667,29.8,31.2
