"observation","prediction"
61.55,203.303161621094
185.36,180.585220336914
253.65,107.611671447754
95.45,171.339584350586
267.14,282.936462402344
182.11,112.86262512207
358.49,254.929718017578
314.77,185.429260253906
335.43,173.719650268555
126.37,187.948959350586
236.18,106.350242614746
55.76,111.822265625
123.2,161.495498657227
44.31,105.295135498047
189.65,146.915802001953
106.35,118.565589904785
151.73,182.494354248047
195.48,126.962997436523
126.34,160.392272949219
136.97,111.88387298584
56.81,164.132354736328
131.93,170.344467163086
138.85,229.005798339844
52.15,155.639114379883
137.97,247.58039855957
77.2,191.84782409668
180.58,322
214.55,141.114303588867
238.28,140.785415649414
85.9,177.153457641602
142.82,105.316345214844
66.67,116.327758789062
127.99,107.038848876953
154.75,201.902694702148
32.1,185.556030273438
134.54,148.819290161133
86.14,146.380020141602
171.74,180.725143432617
199.88,182.70475769043
371.9,134.959747314453
105.07,157.02619934082
139.85,107.691879272461
75.52,160.547653198242
99.03,221.707885742188
182.92,138.165176391602
41.81,146.735290527344
104.24,172.704498291016
105.6,148.611618041992
124.1,208.241439819336
308.93,242.335662841797
356.37,142.524139404297
88.27,206.586059570312
80.05,153.373794555664
