date,pond,variable,empirical,predicted,reldiff
29-02-2024,NRO1,pc,12.4,11.83980334,-4.52
29-02-2024,VMS1,pc,11.16,10.78073889,-3.4
29-02-2024,SRI1,pc,8.4,7.937796044,-5.5
29-02-2024,GIL2,pc,2,1.948359883,-2.58
05-03-2024,SNR2,pc,8.94,9.523978053,6.53
05-03-2024,JKS1,pc,2.91,3.102491388,6.61
05-03-2024,GOW2,pc,6.82,6.514361992,-4.48
05-03-2024,SBR1,pc,9.92,10.04077507,1.22
05-03-2024,JAG1,pc,6.48,6.943526971,7.15
05-03-2024,VMS1,pc,14,13.97622404,-0.17
05-03-2024,SRI2,pc,6.97,6.535313119,-6.24
05-03-2024,GIL2,pc,2.09,1.900515311,-9.07
10-03-2024,SNR2,pc,14.26,15.50960499,8.76
10-03-2024,NSR1,pc,10.89,10.47397682,-3.82
10-03-2024,SRI2,pc,8.28,8.536150094,3.09
19-02-2024,SNR2,ph,8.26,8.941894251,8.26
19-02-2024,JKS1,ph,8.34,8.105737833,-2.81
19-02-2024,PNR1,ph,8.34,8.262095401,-0.93
19-02-2024,GOW2,ph,8.48,8.06077531,-4.94
19-02-2024,SRV1,ph,8.31,8.514074568,2.46
19-02-2024,SRK1,ph,8.85,8.638602085,-2.39
19-02-2024,VVR1,ph,8.39,8.444981769,0.66
19-02-2024,KIS1,ph,8.03,8.363760807,4.16
19-02-2024,PRA1,ph,8.36,8.421465749,0.74
19-02-2024,SBR1,ph,7.96,8.060240186,1.26
19-02-2024,NSR1,ph,8.24,8.591430782,4.26
19-02-2024,JAG1,ph,8.22,8.393665466,2.11
19-02-2024,VPS3,ph,8.16,8.533291783,4.57
19-02-2024,NRO1,ph,8.07,7.998135907,-0.89
19-02-2024,VMS1,ph,8.2,8.344534753,1.76
19-02-2024,GRA1,ph,8.37,8.410715057,0.49
19-02-2024,PKR1,ph,8.18,8.462072588,3.45
19-02-2024,SRI2,ph,8.14,8.368029153,2.8
19-02-2024,SRI1,ph,8.2,8.431153758,2.82
19-02-2024,GIL2,ph,8.19,8.285416748,1.17
24-02-2024,SNR2,ph,8.2,8.620186994,5.12
24-02-2024,PNR1,ph,8.48,8.38503177,-1.12
24-02-2024,GOW2,ph,8.42,8.467491661,0.56
24-02-2024,SRV1,ph,8.09,8.487509606,4.91
24-02-2024,PRA1,ph,8.42,8.255223124,-1.96
24-02-2024,VPS3,ph,8.22,8.163298818,-0.69
29-02-2024,SNR2,ph,8.63,8.528139006,-1.18
29-02-2024,JKS1,ph,8.36,8.223858186,-1.63
29-02-2024,PNR1,ph,9.1,8.473435605,-6.89
29-02-2024,GOW2,ph,8.87,8.406355022,-5.23
19-02-2024,SNR2,tmp,28.2,28.6,1.42
19-02-2024,JKS1,tmp,28.6,29.4,2.8
19-02-2024,PNR1,tmp,28.3,29.1,2.83
19-02-2024,GOW2,tmp,28.5,29.4,3.16
19-02-2024,SRV1,tmp,28.6,28.9,1.05
19-02-2024,SRK1,tmp,27.9,28.5,2.15
19-02-2024,VVR1,tmp,28.5,28.4,-0.35
19-02-2024,KIS1,tmp,28.9,29.4,1.73
19-02-2024,PRA1,tmp,29,29,0
19-02-2024,SBR1,tmp,28.9,29.2,1.04
19-02-2024,NSR1,tmp,27.9,28.9,3.58
19-02-2024,JAG1,tmp,28.4,29.1,2.46
19-02-2024,VPS3,tmp,28.8,28.9,0.35
19-02-2024,NRO1,tmp,28.7,29.4,2.44
19-02-2024,VMS1,tmp,28.7,29,1.05
19-02-2024,GRA1,tmp,28.3,29.1,2.83
19-02-2024,PKR1,tmp,29.7,28.4,-4.38
19-02-2024,SRI2,tmp,28.5,29,1.75
19-02-2024,SRI1,tmp,28.6,29,1.4
19-02-2024,GIL2,tmp,28.4,29.2,2.82
24-02-2024,SNR2,tmp,29,29.3,1.03
24-02-2024,PNR1,tmp,28.6,29.6,3.5
24-02-2024,GOW2,tmp,29.4,29.8,1.36
24-02-2024,SRV1,tmp,28.7,29.6,3.14
24-02-2024,PRA1,tmp,30,29.9,-0.33
24-02-2024,VPS3,tmp,29.2,29.7,1.71
29-02-2024,SNR2,tmp,28.5,28.9,1.4
29-02-2024,JKS1,tmp,29.3,29.4,0.34
29-02-2024,PNR1,tmp,29.3,29,-1.02
29-02-2024,GOW2,tmp,29.5,29.2,-1.02
