pondday,temp,ph,do,chl,pc,amm,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDMI,NDWI,NDCI,NDTI,MNDWI,NDVI,mNDHI,cells_count,cells_prop,pond,day,dark_day
JKS1_5,30.3,7.96,2.35,74.61,4.99,0.1,632.25,675.25,793,656.25,982.5,914.5,959.75,849.75,843.75,1391,759.75,515.5,0.0552723985484838,-0.0174527573437321,0.19991069649698,-0.0965916188874491,0.0371881048590332,0.113071538868744,-0.0168577082433386,4,1,JKS1,5,643.150123631226
KIS1_1,28.9,8.03,3.3,95.45,2.91,0.03,330.25,374.125,502.25,384.625,616.125,531.375,563.875,512.125,501.125,1071.625,419.25,289.5,0.0992409404802372,0.106419689143877,0.232468954155302,-0.142661951237352,0.197317672953878,0.0316342368310377,0.00252412451389217,8,1,KIS1,1,362.527132419342
KIS1_2,29.5,8.06,3.84,44.31,2.5,0.04,1337.71428571429,1202.71428571429,1224.57142857143,1001,1234.57142857143,1165,1175.85714285714,1060,1078.42857142857,1536.71428571429,655.714285714286,399,0.266431064093753,0.0931035574157359,0.103653685607338,-0.100980932302133,0.341909221880551,0.00663284766926732,-0.0922960449218301,7,0.875,KIS1,2,910.69109947644
KIS1_3,30.1,8.53,6.88,52.15,2.49,0.08,318.75,376.25,549,392.75,664.5,508.5,510.5,441.75,460.125,796.625,366.125,241,0.11214463966764,0.25931234152958,0.259424979578224,-0.175458187264289,0.346259141318535,-0.104885107583415,0.0117995519430733,8,1,KIS1,3,410.59754601227
KIS1_4,29.9,8.1,5.55,32.1,1.06,0.1,861.5,793,939.5,735.875,1017.875,924.625,947.625,852.25,842.625,1060,544.75,335.875,0.259769087815386,0.0793834517477029,0.160021652864814,-0.123078884954874,0.32147186390705,0.0421364904648725,-0.0390950907426507,8,1,KIS1,4,612.44705527941
KIS1_5,31,8.11,7.06,41.81,2.78,0.17,630.571428571429,691.714285714286,794.142857142857,625.428571428571,905.571428571429,828.285714285714,862.428571428571,766.571428571429,785.142857142857,1191.14285714286,540.714285714286,357.142857142857,0.215091392150775,0.0840090032337848,0.182457145205088,-0.123535817303628,0.281185209979314,0.0365523556323947,-0.0562370632971542,7,0.875,KIS1,5,643.150123631226
NRO1_1,28.7,8.07,1.6,267.14,14.88,0.26,338.95652173913,415.739130434783,553.391304347826,420.978260869565,834.45652173913,752,794.804347826087,728.347826086957,671.369565217391,887.630434782609,502.5,364.695652173913,0.247750139787589,-0.0675004955370612,0.347639727304475,-0.153986576139024,0.174197405624571,0.219596308221304,-0.0131200446520264,46,1,NRO1,1,362.527132419342
NRO1_2,29.6,8.28,6.5,189.65,16,0.2,1438.14634146341,1268.9512195122,1260.75609756098,1020.92682926829,1340.82926829268,1150.36585365854,1115.9512195122,966.975609756098,949.560975609756,1291.87804878049,569.756097560976,387.170731707317,0.288996997544221,0.143661218214252,0.136067983433069,-0.106231531572848,0.408187046616294,-0.0387508128793292,-0.109490011716393,41,0.891304347826087,NRO1,2,910.69109947644
NRO1_3,29.3,8.13,1.1,137.97,12.4,0.21,361.434782608696,443.347826086957,583.108695652174,435.369565217391,836.239130434783,736.282608695652,786.086956521739,685.847826086957,654.95652173913,598.630434782609,470.869565217391,325.217391304348,0.297532126636473,0.00169682547123851,0.327668516757436,-0.161373459147933,0.275364114175286,0.158675577411528,-0.0272355189202034,46,1,NRO1,3,410.59754601227
NRO1_4,30,8.24,5.3,134.54,10.82,0.18,731.613636363636,676.75,770.75,620.477272727273,953.477272727273,851.5,865.522727272727,775.5,764.045454545455,798.818181818182,524.818181818182,346.568181818182,0.256838416848107,0.0390762868203289,0.214589895505807,-0.114069557082366,0.280162899059741,0.0742556572238139,-0.0504781596930479,44,0.956521739130435,NRO1,4,612.44705527941
