"day","B6","B2","B2_normalised","B2_dehazed","A_B2","B3","B3_normalised","B3_dehazed","A_B3","B4","B4_dehazed","B4_normalised","A_B4"
1,666.700586340576,426.453563395387,1015.84936492469,196.427524461778,1358.23076923077,624.591697815185,1501.78335613173,357.085947753455,1713.69230769231,408.572043912452,0.130802309533099,1017.36066711268,2064.23076923077
2,1331.766779011,1448.13100307606,1314.33200497011,235.846668732645,2306,1448.92925974919,1386.53517679348,658.902689236681,2076,1159.0307265498,654.512312957831,1123.63618666971,1641
3,676.729781036015,445.55345868812,1446.13261502149,201.996496609419,1359.61538461538,636.619157558061,2278.52239641396,354.31930244708,1699.84615384615,419.009973364024,0.327329612831685,1710.94313337698,1998.69230769231
4,917.824180258146,766.911713259821,1016.85456544659,366.989655962954,1571.85714285714,922.760770224237,1323.14420737631,466.413992754382,1828.14285714286,688.07399751043,0.135942360716213,1043.48498257572,2031.85714285714
5,923.223386574635,757.121038500709,1147.84875454929,545.09725575108,1367.5,894.606774860213,1433.43498615641,552.044227279658,1771.5,661.551171871795,44.4654605263158,1099.83569720997,2112.5
