"pondday","temp","ph","do","chl","pc","amm","B1","B2","B3","B4","B5","B6","B7","B8","B8A","B9","B11","B12","AOT","dark","dark_filtered","B2_norm","B3_norm","B4_norm","dark_norm","transmission","B2_dehazed","B3_dehazed","B4_dehazed","B2_normalised","B3_normalised","B4_normalised","B5_normalised","NDMI","NDWI_b","NDCI_b","NDTI_b","MNDWI_b","NDVI_b","mNDHI_b","NDWI_dehazed","NDCI_dehazed","NDTI_dehazed","MNDWI_dehazed","NDVI_dehazed","NDWI_normalised","NDCI_normalised","NDTI_normalised","cells_count","cells_prop","pond","day","dark_day"
"GIL2_1",28.4,8.19,3.4,61.55,1.6,0.06,229.555555555556,287.666666666667,423.888888888889,284.444444444444,456.444444444444,264.888888888889,272.444444444444,236,217.555555555556,658.555555555556,241.222222222222,172.666666666667,456,275.111111111111,246.444444444444,0.211795133186083,0.247354141105824,0.137796824213817,0.137796824213817,0.862203175786183,116.310503736647,217.759966294702,0,685.246942988725,1019.20867729956,708.277999114653,1035.25616793932,-0.00348492511621649,0.328060300974606,0.233357733383665,-0.201333902593538,0.323199887069868,-0.142345876764272,-0.00945914508903687,0.0225184269399236,1,-1,0.0195922489160026,1,0.644344436376651,0.188789155283827,-0.18451501244593,9,1,"GIL2",1,362.527132419342
"GIL2_2",28.7,8.23,2.5,55.76,2.1,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"GIL2",2,910.69109947644
"GIL2_3",29.2,8.33,7.7,56.81,2,0.13,325.333333333333,379.333333333333,504.555555555556,353.555555555556,540.222222222222,358.333333333333,370.333333333333,297.333333333333,280.555555555556,640.222222222222,247.666666666667,168.555555555556,504,345.888888888889,313.222222222222,0.279000471475719,0.29682424754377,0.176893438872425,0.176893438872425,0.823106561127575,168.384927002183,247.568112146919,0,1231.20199069566,1805.85381372783,1443.67315457556,1991.23561453086,0.117628341475937,0.305993089089308,0.209897025680021,-0.181003309550146,0.401093178568766,-0.137012414127957,-0.0403870064050194,-0.0245736192172005,1,-1,0.0898397910752572,1,0.733766486738009,0.160490433899765,-0.116689178685448,9,1,"GIL2",3,410.59754601227
"GIL2_4",29,8.28,4.2,66.67,2.09,0.09,682,608.555555555556,744,553.555555555556,745,560.222222222222,541.111111111111,467.111111111111,468.333333333333,840,355.666666666667,225.666666666667,480,548.555555555556,517.142857142857,0.387157037979541,0.406970383683676,0.272438226034514,0.272438226034514,0.727561773965486,247.037540837323,337.727501299916,-5.05274834318293e-14,806.888829959633,1066.81961571551,839.483705725744,1063.6778983438,0.152997351079752,0.244515347653645,0.147176014326714,-0.148275620263709,0.378323236423366,-0.101542950788999,-0.049107848553491,-0.13789197570042,1,-1,0.0147529694819169,1,0.403343731440882,0.117549493117821,-0.120786936714244,9,1,"GIL2",4,612.44705527941
"GIL2_5",29.6,8.25,2.2,75.52,2.08,0.11,610.625,646.875,730,546.625,755.375,588.5,586.875,476.375,461.875,985.25,321.25,214.75,552,546.625,530,0.473034734917733,0.412080158058143,0.258757396449704,0.258757396449704,0.741242603550296,395.474879507929,366.460900562033,-1.13686837721616e-13,980.708004851425,1169.68434545746,908.769742310889,1163.72669850562,0.198140418174913,0.211134597494621,0.160348470424927,-0.143783447711884,0.391661358158635,-0.0696193181148373,-0.0839800178914806,-0.12908029320925,1,-1,0.0708134449541627,1,0.421763582744365,0.123042595368105,-0.125677598114291,8,0.888888888888889,"GIL2",5,643.150123631226
"GOW2_1",28.5,8.48,8.79,185.36,6.53,0.33,341.277777777778,414.5,570.888888888889,355.333333333333,665.111111111111,529.944444444444,572.166666666667,496.777777777778,461.055555555556,810.166666666667,342.888888888889,249.611111111111,456,352.888888888889,307.833333333333,0.305176417284929,0.333133834076468,0.172138376498354,0.172138376498354,0.827861623501646,218.147716593897,333.526110452324,0,987.374940447832,1372.65902594107,884.794156706507,1508.5305309846,0.198629767503723,0.12078515231659,0.30516067493181,-0.23702455206631,0.302374892224226,0.115363271092874,-0.0818201965233263,-0.135648946982524,1,-1,0.0570432019514892,1,0.498502511070711,0.262259131287485,-0.220473635814698,18,1,"GOW2",1,362.527132419342
"GOW2_2",29.4,8.42,6.73,123.2,8.32,0.17,1344.3125,1172.8125,1163.9375,908,1171.4375,1085.6875,1044.5,897.9375,883.8125,1305.6875,455.6875,283.6875,431.8125,908,866,0.508591717259324,0.560663535645472,0.553321145642901,0.508591717259324,0.491408282740676,5.6843418860808e-14,219.393759618654,149.873110416599,1064.45135233255,1113.81578947368,880.271449345613,1060.31634685011,0.333148515505328,0.130186421159867,0.12635473383788,-0.123667390574926,0.442469104383274,-0.00672251430942077,-0.1273749317009,-0.612531724339541,0.776250968056591,-0.187157322509371,-0.351808129402265,0.71800656136298,0.108511042239488,0.0924562693066222,-0.117260942880351,16,0.888888888888889,"GOW2",2,910.69109947644
"GOW2_3",29.5,8.87,11.04,131.93,9.69,0.11,320.555555555556,368.277777777778,512.277777777778,309.722222222222,609.166666666667,519.333333333333,583.055555555556,452.222222222222,396.777777777778,575.944444444444,269.222222222222,170.166666666667,504,306.944444444444,271.625,0.270869086908691,0.3013671423256,0.154962432701724,0.154962432701724,0.845037567298276,186.224740141572,294.488133096908,-6.31593542897867e-14,1195.31898012911,1833.49240435855,1264.68853500295,2245.36183806364,0.306433198729681,0.117959024301458,0.328052866160976,-0.250880058882866,0.387491557347008,0.132118933379106,-0.0913961473584078,-0.144083632472494,1,-1,0.154742377968001,1,0.626730660862043,0.281653106135585,-0.188294598070691,18,1,"GOW2",3,410.59754601227
"GOW2_4",30.1,8.55,11.51,127.99,6.82,0.14,1676.5,1312.5,1367.25,1078,1394.5,1273.5,1256,1165,1111.75,1880.5,781.5,499.75,480,1078,NA,0.834999545578479,0.747890130499336,0.530549110595514,0.530549110595514,0.469450889404486,1026.23541570353,851.533092223583,1.13686837721616e-13,1740.25457438345,1960.4961284772,1634.81953290871,1991.00513992005,0.201884199522444,0.0811901580313086,0.128234812298447,-0.118371778171118,0.277672848350716,0.0374173806862822,-0.0980986525801821,-0.155791036073674,1,-1,0.0474997646668343,1,0.255568122451725,0.0984651742260737,-0.0906659535165639,4,0.222222222222222,"GOW2",4,612.44705527941
"GOW2_5",30.3,8.35,7.5,99.03,6.67,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"GOW2",5,643.150123631226
"GRA1_1",28.3,8.37,3.2,276.81,10.47,0.12,301.8,427.325,633.475,399.5,818.2,580,586.3,493.7,372.8,491.125,210.65,165.2,456,390.75,352.1,0.314618848048932,0.369655040847473,0.193534563070617,0.193534563070617,0.806465436929383,202.747161124651,372.579782731253,0,1017.92520247737,1523.14258235153,994.770916334661,1855.7496030846,0.462505592052918,0.150039675227123,0.349850770572188,-0.234655441335027,0.562831883619982,0.0871389742188896,-0.0415100404027238,-0.104814736890648,1,-1,0.368898275917854,1,0.526236942599422,0.308295817533513,-0.218102220011598,40,1,"GRA1",1,362.527132419342
"GRA1_2",28.9,8.43,3,148.63,7.61,0.12,1908.33333333333,1617,1582.66666666667,1274,1587,1374.33333333333,1339,1231,1120.33333333333,2092.33333333333,663,502,432,1274,NA,0.701214223764094,0.762363519588953,0.776355880560634,0.701214223764094,0.298785776235906,0,424.077187045789,412.629170669582,1467.59847522236,1514.51355661882,1235.09452253999,1436.45908761767,0.300556222706956,0.12590753134908,0.109402106196582,-0.108052251348648,0.410675655389246,-0.018146866527337,-0.118444459659626,-0.48743089326143,0.5884893436813,-0.0143567952986945,-0.219522960759593,0.498283515686328,0.104200439758254,0.0753772449331046,-0.101622328941001,3,0.075,"GRA1",2,910.69109947644
"GRA1_3",29.2,8.48,3.3,111.26,5.64,0.17,456.15,561.75,750.25,505.2,908.2,630.075,639.875,500.325,403.875,355.525,188.425,137.175,504,497.625,452.625,0.413168316831683,0.441363471807404,0.252765269599353,0.252765269599353,0.747234730400647,290.330421545585,427.089479491499,3.41060513164848e-14,1823.27166504382,2685.2183249821,2062.88280930992,3347.58569848876,0.53285362745215,0.224248372821931,0.288674448851049,-0.200320076634149,0.661677691452599,-0.0262945018903418,-0.0581550225428669,-0.0454956715834473,1,-1,0.487694087273199,1,0.695001017363928,0.241127173761508,-0.136433606202583,40,1,"GRA1",3,410.59754601227
"GRA1_4",28.4,8.54,4,132.52,5.78,0.15,775.325,739.275,914.225,658.6,1052.05,801.675,798.725,664.175,578.75,572.025,280.55,192.2,480,652.85,621.333333333333,0.470319458329547,0.500084004063452,0.324136961259931,0.324136961259931,0.675863038740069,337.515291828013,473.798464178853,-1.70530256582424e-14,980.210819411297,1310.90478921709,998.786775856839,1502.07024557396,0.450991030110136,0.172347318529145,0.231555898881702,-0.164991052016109,0.570340872590382,-0.00821105691205626,-0.0602973201192819,-0.147951826112207,1,-1,0.321459779287856,1,0.338936444192783,0.202829077411389,-0.137644616653983,40,1,"GRA1",4,612.44705527941
"GRA1_5",30.1,8.57,4.7,114.96,5.27,0.18,658.975,751.775,912.1,680.15,1068.375,864.8,892.575,727.35,657.05,767.075,304.05,219.475,552,673.175,640.521739130435,0.549744058500914,0.514874400225797,0.32196449704142,0.32196449704142,0.67803550295858,458.815899720787,502.275190197763,3.41060513164848e-14,1139.74378411158,1461.46450889281,1130.75644222776,1645.93283007241,0.450701886330774,0.126608314195631,0.223659236175779,-0.148268858702315,0.539610229481399,0.0217169041541163,-0.0527134652171733,-0.164435304073395,1,-1,0.306790758636188,1,0.346319278371464,0.187201913019558,-0.130201855005564,40,1,"GRA1",5,643.150123631226
