"observation","prediction"
61.55,0.999999798478721
185.36,0.999999474929967
276.81,0.999999894967701
253.65,0.999999843454016
110.52,0.999999873863534
267.14,0.999999425325176
257.05,0.9999998188795
182.11,0.99999958852283
358.49,0.999998596908474
255.62,0.999999461630351
118.74,0.999999697480233
213.31,0.999999479127896
126.37,0.999999639227109
236.18,0.999998204462667
56.81,1
131.93,0.999999696586086
111.26,0.999999703614142
138.85,0.99999798124553
81.72,0.999999234921011
137.97,0.999999452682816
228.51,0.999999544349502
77.2,0.999999691378533
180.58,0.999996533357895
147.42,0.999998559882295
95.73,0.999999212473626
185.66,0.999997927523713
85.9,0.999999669072428
142.82,0.999999034963559
66.67,0.99999689470331
127.99,0.999997168443556
132.52,0.999995215496116
154.75,0.999996602500482
85.07,0.99999596176053
134.54,0.999998603124894
36.69,0.99999816625492
86.14,0.999994450658352
171.74,0.999996322408573
129.88,0.999999549625915
155.79,0.999999481674328
139.9,0.999999797654868
105.07,0.999996297997238
139.85,0.999999776886505
75.52,0.999999089961874
114.96,0.999996658647184
182.92,0.999995072908367
74.61,0.999997807342946
105.6,0.999992701582699
124.1,0.99999688738818
170.53,1
132.31,0.99999866035871
88.27,0.999994633111577
80.05,0.999999478966556
