"observation","prediction"
61.55,292.730560302734
185.36,297.052642822266
276.81,258.877777099609
253.65,177.792388916016
110.52,311.816497802734
267.14,321.555328369141
257.05,345.452789306641
182.11,274.249298095703
358.49,280.787994384766
255.62,293.599578857422
118.74,383.484527587891
213.31,169.074035644531
126.37,333.085784912109
236.18,355.461822509766
56.81,232.72607421875
131.93,254.972137451172
111.26,329.718353271484
138.85,244.025085449219
81.72,372.250335693359
137.97,455.676361083984
228.51,306.326385498047
77.2,280.517059326172
180.58,322.891693115234
147.42,283.815460205078
95.73,357.791778564453
185.66,129.773498535156
85.9,257.814605712891
142.82,430.943756103516
66.67,194.448913574219
127.99,238.171081542969
132.52,147.268341064453
154.75,184.3564453125
85.07,182.001098632812
134.54,290.674407958984
36.69,186.531402587891
86.14,234.127655029297
171.74,290.325653076172
129.88,223.430969238281
155.79,472.103485107422
139.9,156.366363525391
105.07,270.882293701172
139.85,269.018157958984
75.52,155.101837158203
114.96,107.654418945312
182.92,155.449890136719
74.61,443.750640869141
105.6,161.185546875
124.1,340.105804443359
170.53,333.982635498047
132.31,186.437652587891
88.27,217.013580322266
80.05,305.222991943359
