"observation","prediction"
3.4,0.999979641314274
8.79,0.999983477493825
3.2,0.999978669512602
2.1,0.999981470563401
2,0.999980078877725
1.6,0.999981359236053
4.8,0.999980263115299
2.87,0.999980690824372
3.3,0.999982042863387
3.99,0.999981474133178
3.1,0.999979265311352
3.75,0.999978435811086
3.7,0.99997934493903
5.51,0.999983036863483
7.7,0.999977678321254
11.04,0.99998326981509
3.3,0.999980137361663
2.8,0.999981867567803
3.17,0.999982032532846
1.1,0.999981983844741
8.1,0.999979663334985
12.94,0.999981084618089
3.9,0.999982017568844
13.87,0.999983649946391
7,0.999979715681865
3.32,0.999982031239995
4.6,0.999980757586072
13.44,0.999983584400696
4.2,0.999980742922318
11.51,0.999983417232811
4,0.999981269207755
4.5,0.999982267692466
3.6,0.999982867970125
5.3,0.99998292225741
2.8,0.999980815203561
5.4,0.999980824661348
4.39,0.999982697455947
9.08,0.999972824362456
6.3,0.999981279365573
5.4,0.99997878150148
4,0.999981602689668
3.25,0.999980134957279
2.2,0.999980771596978
4.7,0.999981089749987
3.6,0.999982768296734
2.35,0.999982554406886
8.77,0.999981454629987
11.59,0.999982162019161
2.2,0.999976800794768
6.75,0.999980513712028
4.2,0.99998158832603
7.57,0.999982552284545
