"observation","prediction"
61.55,176.117813110352
185.36,176.117813110352
253.65,176.117813110352
95.45,172.528549194336
267.14,176.117813110352
182.11,176.117813110352
358.49,176.117813110352
314.77,172.528549194336
335.43,176.117813110352
126.37,176.117813110352
236.18,176.117813110352
55.76,172.528549194336
123.2,172.528549194336
44.31,172.528549194336
189.65,172.528549194336
106.35,172.528549194336
151.73,172.528549194336
195.48,172.528549194336
126.34,172.528549194336
136.97,172.528549194336
56.81,176.117813110352
131.93,176.117813110352
138.85,176.117813110352
52.15,172.528549194336
137.97,176.117813110352
77.2,172.528549194336
180.58,176.117813110352
214.55,176.117813110352
238.28,176.117813110352
85.9,176.117813110352
142.82,176.117813110352
66.67,176.117813110352
127.99,176.117813110352
154.75,176.117813110352
32.1,172.528549194336
134.54,172.528549194336
86.14,172.528549194336
171.74,176.117813110352
199.88,172.528549194336
371.9,172.528549194336
105.07,176.117813110352
139.85,172.528549194336
75.52,172.528549194336
99.03,176.117813110352
182.92,172.528549194336
41.81,172.528549194336
104.24,172.528549194336
105.6,172.528549194336
124.1,176.117813110352
308.93,172.528549194336
356.37,172.528549194336
88.27,176.117813110352
80.05,172.528549194336
