"observation","prediction"
185.36,0.999998179523787
253.65,0.99999714759183
95.45,0.99999803883618
267.14,0.999994717863152
257.05,0.999997087400367
182.11,0.999993382892678
358.49,0.999998899317177
314.77,0.999999478166762
138.97,0.999998291447242
118.74,0.999999450463457
621.83,0.999999183583773
123.2,0.999999812355736
44.31,1
189.65,1
190.67,1
106.35,0.999995468448571
151.73,1
195.48,0.999999925144611
85.36,1
170.45,1
377.58,0.999999327423022
131.93,0.999997728014258
138.85,0.99999745333015
52.15,0.999998324824139
137.97,0.999998540636297
228.51,0.999996132716079
77.2,0.999990240187434
180.58,0.999999074901225
214.55,0.999999853390339
177.07,0.999999237958167
95.73,0.999998812849345
477.38,0.99999625828604
127.99,1
154.75,0.999999225389093
32.1,0.999997419456499
134.54,0.999999743373612
36.69,0.999999513037875
86.14,0.999980871906214
171.74,0.99999870508538
199.88,0.999999379181097
101.82,0.999999523580727
155.79,0.999999133911933
383.74,0.99999967220644
99.03,0.999999744788429
182.92,0.999997492631847
41.81,0.999997309297524
104.24,0.99999686946577
105.6,0.999988848356335
124.1,0.999998814417726
308.93,0.999999722873662
101.43,0.999999360901205
170.53,0.999999904098451
401,0.999998449444369
